context_length,store_id,mode,wql,mae,rmse,p10_under,p90_over
512,1,univariate,0.05496964488565972,327.66198899999995,405.58312976355063,0.06666666666666667,0.1
512,1,covariate,0.05727017766827764,331.9094676666666,417.1493842530553,0.06666666666666667,0.1
512,10,univariate,0.05758422010287378,417.0146579,491.0487530000067,0.0,0.03333333333333333
512,10,covariate,0.08494189781315951,653.3144743899999,845.0622806284985,0.13333333333333333,0.1
512,1001,univariate,0.07078989511278318,549.5249396666666,689.9495767831896,0.06666666666666667,0.03333333333333333
512,1001,covariate,0.06859403875667884,481.45860466666664,575.8170115377741,0.06666666666666667,0.13333333333333333
512,1002,univariate,0.08230733277041244,699.7665443333333,923.202520951693,0.0,0.2
512,1002,covariate,0.09215995891431361,880.5882843333334,1017.4492373305875,0.03333333333333333,0.36666666666666664
512,1003,univariate,0.11104878854383603,1010.8462093333331,1202.7579047063134,0.1,0.03333333333333333
512,1003,covariate,0.08914418031870174,722.4690069999999,957.012524814809,0.23333333333333334,0.03333333333333333
512,1005,univariate,0.055151743178951024,481.79198466666656,571.9114885780034,0.13333333333333333,0.06666666666666667
512,1005,covariate,0.058752259072858554,504.4600746666667,600.7212811749903,0.13333333333333333,0.16666666666666666
512,1006,univariate,0.0713154045948705,628.5512653666666,1099.6545459744439,0.0,0.13333333333333333
512,1006,covariate,0.07910150208059466,751.8149799999998,888.0422740548393,0.16666666666666666,0.36666666666666664
512,1007,univariate,0.08472693950821143,896.1933302000002,1087.8367446017528,0.16666666666666666,0.2
512,1007,covariate,0.08131806525374134,846.7882780000001,971.5620863238624,0.1,0.23333333333333334
512,1008,univariate,0.08500620969994678,632.9120819999999,829.5039577640358,0.03333333333333333,0.23333333333333334
512,1008,covariate,0.09540871271430675,690.8982053333333,836.8025749096525,0.06666666666666667,0.36666666666666664
512,101,univariate,0.09541830571136058,966.9501786666665,1257.9382717568956,0.16666666666666666,0.23333333333333334
512,101,covariate,0.07824296806713969,843.4712010000001,1029.0666315108124,0.06666666666666667,0.26666666666666666
512,1010,univariate,0.08013055822958978,1052.7494723333336,1468.8109165988035,0.03333333333333333,0.13333333333333333
512,1010,covariate,0.08055952811717415,1047.487788,1384.777096336162,0.06666666666666667,0.3
512,1011,univariate,0.10570481474067743,995.4384981999998,1245.647618292539,0.13333333333333333,0.16666666666666666
512,1011,covariate,0.0935179439580739,808.8019230333333,1074.4248821444146,0.2,0.13333333333333333
512,1013,univariate,0.09156358483152593,395.95259366666676,512.4774538184444,0.0,0.03333333333333333
512,1013,covariate,0.08060750608272417,411.3720683333334,498.18238038323705,0.26666666666666666,0.0
512,1014,univariate,0.1088791052014665,1513.5193803333339,1815.8452160603708,0.0,0.03333333333333333
512,1014,covariate,0.09225223595819848,1217.6286817333332,1671.6170014486838,0.2,0.0
512,1015,univariate,0.0656214131135054,564.5532569333334,769.1990167213144,0.06666666666666667,0.2
512,1015,covariate,0.07017123704217505,602.6155719999999,733.4908877190678,0.03333333333333333,0.26666666666666666
512,1016,univariate,0.09687360244299907,768.3828403333333,968.4760679242953,0.06666666666666667,0.06666666666666667
512,1016,covariate,0.07964624670315369,618.2781233333334,763.2226020021303,0.1,0.16666666666666666
512,1017,univariate,0.05964312009812874,554.3906224666665,658.0482497698898,0.1,0.1
512,1017,covariate,0.047073886703261035,409.46918266666665,485.75561983148566,0.23333333333333334,0.06666666666666667
512,1018,univariate,0.06990156306755828,1018.0598846666668,1299.6676692275614,0.06666666666666667,0.13333333333333333
512,1018,covariate,0.06881373140848306,1035.7131401,1264.6046311564155,0.06666666666666667,0.2
512,102,univariate,0.40153276627098916,3196.1275585666663,4441.826922702763,0.0,0.4
512,102,covariate,0.12426853045720104,1199.6869943333334,1447.0538591217103,0.23333333333333334,0.2
512,1020,univariate,0.05538806749504877,643.1151269999999,812.5429443810034,0.03333333333333333,0.03333333333333333
512,1020,covariate,0.0625356872205479,775.2396433333334,902.7181464964146,0.1,0.1
512,1021,univariate,0.27030466243878,4486.795816666666,6305.463706373765,0.0,0.26666666666666666
512,1021,covariate,0.0702151879547661,935.2334696666668,1094.9098791565402,0.03333333333333333,0.2
512,1022,univariate,0.0785904299306982,729.885123,895.1914937198051,0.16666666666666666,0.06666666666666667
512,1022,covariate,0.08386507056840296,774.6674026666665,982.0745053306866,0.26666666666666666,0.1
512,1023,univariate,0.07379351400125941,607.327532,773.5305206030066,0.03333333333333333,0.13333333333333333
512,1023,covariate,0.06632589848610143,511.5216216666667,647.685625086197,0.06666666666666667,0.26666666666666666
512,1024,univariate,0.0535620918569489,456.1971993333334,573.7663354760351,0.06666666666666667,0.16666666666666666
512,1024,covariate,0.048987496949222935,410.03682233333336,485.73342278258144,0.03333333333333333,0.1
512,1025,univariate,0.05796917896010986,545.525777,763.4472854364074,0.06666666666666667,0.1
512,1025,covariate,0.07693705763996378,769.8059230000001,935.6455034334077,0.03333333333333333,0.3333333333333333
512,1026,univariate,0.09131647140228744,1185.6348663333333,1410.9689460543132,0.06666666666666667,0.06666666666666667
512,1026,covariate,0.0704129901950698,910.3683363333332,1069.2382742182278,0.16666666666666666,0.06666666666666667
512,1028,univariate,0.12078022806121812,827.8633223333333,1029.3766255996566,0.13333333333333333,0.16666666666666666
512,1028,covariate,0.10541883384916372,666.4290380000002,819.8802924037765,0.16666666666666666,0.16666666666666666
512,1029,univariate,0.058574022599701604,430.93155153333333,500.12464106985976,0.0,0.1
512,1029,covariate,0.06859856542206268,479.7207672333333,594.5328508091417,0.06666666666666667,0.26666666666666666
512,103,univariate,0.04915923824768146,301.1026039999999,375.00623860018777,0.03333333333333333,0.03333333333333333
512,103,covariate,0.056119001209925794,392.8245904000001,463.78236126623597,0.03333333333333333,0.2
512,1030,univariate,0.06853295512165765,360.32543533333336,458.3890425421877,0.03333333333333333,0.06666666666666667
512,1030,covariate,0.09392890354910377,456.5340206666667,540.4671368360093,0.1,0.26666666666666666
512,1031,univariate,0.08164490408165385,535.0122301666667,688.8072456330954,0.1,0.03333333333333333
512,1031,covariate,0.07273515930564652,464.2564519999999,597.565714196048,0.16666666666666666,0.13333333333333333
512,1032,univariate,0.05199886408907727,654.4138023333333,833.9439925248219,0.03333333333333333,0.1
512,1032,covariate,0.06250323906834852,795.6621706666667,925.9245828539672,0.1,0.23333333333333334
512,1033,univariate,0.06930735781529315,1319.6729053333333,1679.7171612129944,0.03333333333333333,0.16666666666666666
512,1033,covariate,0.05732216338306756,1146.5932226666666,1363.6888973584419,0.06666666666666667,0.1
512,1034,univariate,0.0833667103768646,707.7994443333334,892.0605834328637,0.13333333333333333,0.2
512,1034,covariate,0.05130209880736266,433.4524928666666,536.3889378883403,0.0,0.23333333333333334
512,1035,univariate,0.08835654829474242,568.8678058866666,752.1143185136507,0.1,0.2
512,1035,covariate,0.06693222807006248,405.704699,515.2918754312993,0.06666666666666667,0.2
512,1036,univariate,0.07512642909087153,525.0436513333334,648.6844633989564,0.2,0.0
512,1036,covariate,0.0763199130729717,499.10895445333335,621.508444597996,0.16666666666666666,0.1
512,1037,univariate,0.08053509745132957,669.1004563333332,896.1758876166474,0.16666666666666666,0.1
512,1037,covariate,0.08366837843248905,715.0054273333333,901.4010364293423,0.13333333333333333,0.1
512,1039,univariate,0.1520707768660356,1549.4344813333337,1853.9377663320863,0.13333333333333333,0.0
512,1039,covariate,0.21884014562445983,2560.054022166667,2921.2331939896408,0.3,0.0
512,104,univariate,0.05824195265002952,785.4044023333333,1024.9510007452209,0.0,0.23333333333333334
512,104,covariate,0.06197285774580558,845.5422391,1058.6854029001397,0.03333333333333333,0.4
512,1040,univariate,0.08129924131852925,921.2285456666667,1100.690600085665,0.13333333333333333,0.06666666666666667
512,1040,covariate,0.05983618297572026,659.4786363333333,874.7350486560172,0.1,0.1
512,1042,univariate,0.08183152644678227,431.6562763333333,613.5538633803992,0.1,0.13333333333333333
512,1042,covariate,0.08559752715098458,464.5312022,631.3699412507312,0.2,0.2
512,1043,univariate,0.06705861844840076,726.8597490000001,922.2858880381162,0.06666666666666667,0.1
512,1043,covariate,0.06908138548412308,735.1882383333333,915.9293803309819,0.1,0.26666666666666666
512,1044,univariate,0.11310697433415252,929.0022013333332,1108.1545331172015,0.26666666666666666,0.0
512,1044,covariate,0.07648654390908499,569.010112,692.9616301307126,0.3333333333333333,0.0
