shop_id,mean_target,std_target,cv_target,iqr_target,mean_abs_chg,std_chg,spike_rate,corr_lag1,corr_lag4,corr_lag12,corr_lag52,ema_gap,weekly_strength,monthly_strength,yearly_strength,promo_rate,promo_lift,holiday_lift,closed_rate,mean_target_open
1,3945.704883227176,2015.4178398114686,0.5107877803705073,6380.799999999999,1975.4288747346072,3022.8084076703376,0.18789808917197454,-0.12274328237036983,-0.00031896070752362814,-0.08052438921413252,-0.01607553016301849,313.5287668789809,9155332.659085685,8964309.948598906,0.01607553016301849,0.3821656050955414,1953.891265750286,38.388192892768984,0.17091295116772823,4759.096030729834
2,4122.991507430997,2363.6286743106334,0.5732800248259815,7492.249999999999,2097.030785562633,2975.0738829947604,0.12314225053078556,0.2088207191493328,-0.2815016266699934,-0.10105457244231483,-0.2361688861503945,438.845183014862,10672264.229483161,10479670.544338267,0.2361688861503945,0.3821656050955414,3317.75824742268,918.2537994977793,0.16772823779193205,4953.900510204082
3,5741.253715498939,3298.7825587940824,0.5745752969101853,10481.05,2930.648619957537,4294.555723660061,0.1316348195329087,0.1536429136328765,-0.12575483501222787,-0.15213858752711984,-0.11850251061925844,605.3373642250532,20288410.516734194,20037566.19053548,0.11850251061925844,0.3821656050955414,4641.070446735394,1265.5621304480337,0.173036093418259,6942.568677792041
4,8021.7696390658175,4012.5928180274564,0.5002129203493973,13119.85,4094.5127388535034,6227.254232111126,0.1624203821656051,-0.2035360771492454,-0.019879855683147176,-0.07653734036476138,0.0014592676732292414,606.2909442675159,37882187.24668542,37393390.93206188,0.0014592676732292414,0.3821656050955414,3801.571248568155,1572.4960950712957,0.16772823779193205,9638.401785714286
5,3867.1104033970278,2389.609890064261,0.6179316440893952,7622.199999999999,2102.536093418259,3033.2693401461634,0.12101910828025478,0.19541390966711997,-0.19273110299551446,-0.16464316122935316,-0.16488862067179386,445.36502144373674,9565983.080363678,9402746.120825993,0.16488862067179386,0.3821656050955414,3361.9951890034363,770.9336152219871,0.173036093418259,4676.274711168165
6,4562.375796178344,2527.359297586068,0.5539568439647482,7994.349999999999,2330.4055201698516,3359.20366860178,0.11358811040339703,0.11807596693267451,-0.0790621088010488,-0.15960440928790212,-0.0860826963624536,414.5332238853503,13173147.404265782,12765095.429957721,0.0860826963624536,0.3821656050955414,3127.61675257732,495.2567351253392,0.17197452229299362,5509.946153846154
7,7356.902335456475,3969.2998243592947,0.5395341195015981,12994.849999999995,3784.016985138004,5434.095797409038,0.11252653927813164,0.06208359539451461,-0.03282794458434938,-0.21266370491895606,-0.014724197986954105,632.9794818471337,32170284.67057374,32166660.25690934,0.014724197986954105,0.3821656050955414,4840.8430412371135,2390.335526157257,0.16560509554140126,8817.050890585242
8,4610.251592356688,2696.8837720781403,0.5849754004671489,8629.05,2402.932059447983,3394.1159268658043,0.11146496815286625,0.20840102758119472,-0.18383897062312624,-0.12897650603341232,-0.1383676204996989,492.3386740976646,13643994.74258061,13310857.785856798,0.1383676204996989,0.3821656050955414,3827.101718213058,892.6743054049502,0.16772823779193205,5539.3584183673465
9,5426.816348195329,2891.687965777453,0.5328516352329157,9513.949999999995,2836.1135881104033,4258.983765795761,0.14118895966029724,-0.08334555074832009,0.0267042126997836,-0.0499591511511707,0.06365926250978714,444.3022878980891,17714478.327468578,17423408.794872273,0.06365926250978714,0.3821656050955414,3138.615750286369,914.1952148735145,0.173036093418259,6562.337612323492
10,4634.4394904458595,2291.8210798191135,0.4945195819363492,7494.799999999999,2264.176220806794,3375.933175085451,0.12101910828025478,-0.08338104506187662,-0.049195094772043826,-0.14581543966612215,-0.00726273404017485,349.26636263269637,12574518.81792937,12330216.275879975,0.00726273404017485,0.3821656050955414,2512.5340492554406,-146.36244835081652,0.16772823779193205,5568.4209183673465
11,6683.955414012738,3632.8411259311247,0.5435166604749414,11547.9,3222.395966029724,4886.821542364476,0.12738853503184713,0.09596695741888403,-0.048015837902141575,-0.07742374196542652,-0.12049386260927307,564.4581451167728,26099244.749507222,25302642.865601223,0.12049386260927307,0.3821656050955414,3830.687829324169,1305.4398419239014,0.16772823779193205,8030.977040816327
12,6316.608280254777,3400.9978223337685,0.5384215184637299,11390.5,3089.3227176220807,4712.648856740875,0.12951167728237792,0.04136820678034579,-0.09196736571393734,-0.052712931434400916,-0.04642874099094205,596.2270803609341,24308572.520580523,23757396.65166156,0.04642874099094205,0.3821656050955414,4514.811139747995,954.7970071567988,0.16772823779193205,7589.598214285715
14,4555.386411889596,2481.2976044084294,0.5446953078201064,8021.199999999999,2385.9256900212313,3424.040324229615,0.11677282377919321,0.049193607409561586,-0.10858429063454214,-0.2063303683100125,-0.08179665348938482,415.3026151804671,12679693.114027224,12439626.528097177,0.08179665348938482,0.3821656050955414,3166.503379152348,850.4149039926851,0.173036093418259,5508.567394094994
15,5553.619957537155,2901.9650943938923,0.5225357723538362,9602.649999999992,2781.005307855626,4115.8393144547235,0.1305732484076433,-0.004673323179588224,-0.05017157608437701,-0.1301050855986957,-0.011576951133830754,489.56883938428876,18429560.930890657,18173916.316984233,0.011576951133830754,0.3821656050955414,3523.718499427262,901.0460493023929,0.16772823779193205,6672.844387755102
16,6335.34076433121,3394.5451759799903,0.5358109850311302,10930.699999999997,3166.2993630573246,4641.840763662849,0.11995753715498939,0.06612248685782188,-0.11568798753769706,-0.15698564829223638,-0.08491349396572943,552.2081317409767,24188648.736451015,23604638.5124474,0.08491349396572943,0.3821656050955414,4112.533734249714,923.6069762675743,0.1751592356687898,7680.683397683398
17,5259.541401273886,3292.925233738195,0.626085999116681,10474.0,2770.6422505307855,4084.766854509969,0.12208067940552017,0.23124401801903915,-0.1603437365385821,-0.1936399060029039,-0.14666257606680383,623.2919698513801,18164821.0858618,17699536.758163538,0.14666257606680383,0.3821656050955414,4849.965120274914,1472.0134595325471,0.16985138004246284,6335.6624040920715
18,5446.005307855627,2952.044206621303,0.5420567992875531,9717.599999999995,2915.831210191083,4092.577035718902,0.12208067940552017,0.03904531057676534,-0.06682490988260147,-0.14639441443365198,-0.033340378937477946,486.07499543524415,17944398.02364364,17532314.57682989,0.033340378937477946,0.3821656050955414,3680.6702749140895,1169.3181456441953,0.16985138004246284,6560.277493606138
19,5346.251592356688,2965.2091544834984,0.5546332982473365,9767.699999999999,2793.2335456475585,4026.561839079772,0.12101910828025478,0.07912678072898349,-0.09292371730277176,-0.1785587208703179,-0.0695707881626285,505.59818917197447,17658408.108550757,17326563.382538762,0.0695707881626285,0.3821656050955414,3872.4123138602517,955.2588387686683,0.173036093418259,6464.915275994866
21,4522.041401273886,2644.161470570565,0.5847273908728393,8386.049999999997,2547.032908704883,3699.0987937575674,0.18046709129511676,0.020619716012716522,-0.008322731179847026,-0.029539804263394243,0.027659274698580368,501.83600307855625,12966951.750808813,12783198.619467216,0.027659274698580368,0.3821656050955414,3584.8742268041233,366.3562815100213,0.1751592356687898,5482.320463320463
23,4565.073248407643,2548.8116532466015,0.558328752682628,8485.999999999996,2469.967091295117,3609.9691650212035,0.14118895966029724,-0.0020744239627332583,-0.03938362721605092,-0.09423950749154326,-0.044104981961798254,451.19233163481954,12717080.209563471,12445558.94770365,0.044104981961798254,0.3821656050955414,3304.5560996563577,821.7127272727266,0.173036093418259,5520.281129653402
24,7763.773885350319,4270.307826104488,0.5500299066684852,14033.699999999977,4130.090233545648,6033.333239812626,0.1305732484076433,0.0022451449514849287,-0.04329357490055222,-0.12217905117944028,-0.04531656712009758,706.8659236730361,36350683.80635943,35743527.99755516,0.04531656712009758,0.3821656050955414,5235.673052691866,1574.6016610789393,0.173036093418259,9388.28626444159
25,8892.311040339702,5151.671996454072,0.5793400582260704,15817.549999999997,4650.8938428874735,6945.129018441488,0.12845010615711253,0.09202892290718466,0.026964091476904338,-0.09362429604809093,-0.07949471044168328,790.32397426892,51441531.72667963,49939152.38590754,0.07949471044168328,0.3821656050955414,5368.195189003437,1797.638921060654,0.20169851380042464,11139.038563829787
26,5538.498938428875,3105.701642177181,0.5607478986892138,10431.8,2974.6666666666665,4392.312273365766,0.14012738853503184,0.0013127064568751155,-0.03738138307114984,-0.062123071198928695,-0.016374160798364217,561.3010460721869,18702279.49064237,18252957.17311473,0.016374160798364217,0.3821656050955414,4088.5209049255436,1146.9413328182345,0.16985138004246284,6671.695652173913
27,7838.438428874734,4460.597364951159,0.5690670922349061,14674.15,4072.522292993631,6102.992310706519,0.1326963906581741,0.06459274911521053,-0.056649948056263104,-0.11275525737647411,-0.04188805641231589,791.8073220806792,37590120.093324594,36899669.77362431,0.04188805641231589,0.3821656050955414,5936.970131729668,1482.0886162755269,0.173036093418259,9478.57381258023
28,4332.218683651805,2819.4306264446136,0.650805241303561,8753.899999999996,2418.7112526539277,3549.51275479549,0.12101910828025478,0.20797219991129162,-0.06830277082478242,-0.21273030941971677,-0.08367703405616854,509.4942526606157,12765982.994277691,12845850.131252179,0.08367703405616854,0.3821656050955414,3623.7248854524623,1387.5234403839058,0.18152866242038215,5293.060959792478
29,6090.4033970276005,3433.366553433069,0.5637338496403994,11549.849999999999,3339.8715498938427,5038.088890951357,0.16348195329087048,-0.07544190044677802,0.02733026387479531,-0.003968643294465778,0.034267126153624886,564.6987981953291,23134182.955136456,22578709.02926607,0.034267126153624886,0.3821656050955414,4025.1561855670097,857.3924260896074,0.173036093418259,7364.775353016688
30,4367.352441613588,2452.8412588713213,0.5616311692498646,8057.599999999999,2350.996815286624,3394.288240073925,0.16560509554140126,0.044115606639655906,-0.017454796160716837,-0.045843640687840304,-0.058055478635590636,408.81701783439496,11963641.652405534,11922308.067355195,0.058055478635590636,0.3821656050955414,2844.8657216494844,554.8073148430358,0.1751592356687898,5294.782496782497
31,4879.132696390659,2506.6714542192,0.5137534905660094,8153.349999999999,2410.1740976645438,3638.517077037338,0.1592356687898089,-0.05188467797402287,-0.021944313030684667,-0.12194359092467733,-0.017995866281475387,411.50085424628446,13960429.518992819,13683528.261701956,0.017995866281475387,0.3821656050955414,2742.4835051546397,844.4904455529049,0.16772823779193205,5862.427295918367
