id,timestamp,target,Customers,Open,Promo,StateHoliday,SchoolHoliday,DayOfWeek,week_sin,week_cos,month_sin,month_cos,quarter,is_month_start,is_month_end,lag_1_known,lag_1,lag_2_known,lag_2,lag_4_known,lag_4,lag_8_known,lag_8,lag_12_known,lag_12,lag_16_known,lag_16,lag_24_known,lag_24,lag_52_known,lag_52
436,2013-01-01,0.0,0.0,0.0,0.0,1,1.0,2.0,0.11827317,0.9929811,0.5,0.8660254,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-02,4831.0,608.0,1.0,0.0,0,1.0,3.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-03,4628.0,597.0,1.0,0.0,0,0.0,4.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,4831.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-04,5260.0,619.0,1.0,0.0,0,0.0,5.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,4628.0,1,4831.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-05,3559.0,443.0,1.0,0.0,0,0.0,6.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,5260.0,1,4628.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-06,0.0,0.0,0.0,0.0,0,0.0,7.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,3559.0,1,5260.0,1,4831.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-07,8396.0,891.0,1.0,1.0,0,0.0,1.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,0.0,1,3559.0,1,4628.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-08,6348.0,684.0,1.0,1.0,0,0.0,2.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,8396.0,1,0.0,1,5260.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-09,6077.0,681.0,1.0,1.0,0,0.0,3.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,6348.0,1,8396.0,1,3559.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-10,5640.0,640.0,1.0,1.0,0,0.0,4.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,6077.0,1,6348.0,1,0.0,1,4831.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-11,5931.0,701.0,1.0,1.0,0,0.0,5.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,5640.0,1,6077.0,1,8396.0,1,4628.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-12,3473.0,453.0,1.0,0.0,0,0.0,6.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,5931.0,1,5640.0,1,6348.0,1,5260.0,0,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-13,0.0,0.0,0.0,0.0,0,0.0,7.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,3473.0,1,5931.0,1,6077.0,1,3559.0,1,0.0,0,0.0,0,0.0,0,0.0
436,2013-01-14,4242.0,589.0,1.0,0.0,0,0.0,1.0,0.34820163,0.93741965,0.5,0.8660254,1,0,0,1,0.0,1,3473.0,1,5640.0,1,0.0,1,4831.0,0,0.0,0,0.0,0,0.0
436,2013-01-15,4221.0,539.0,1.0,0.0,0,0.0,2.0,0.34820163,0.93741965,0.5,0.8660254,1,0,0,1,4242.0,1,0.0,1,5931.0,1,8396.0,1,4628.0,0,0.0,0,0.0,0,0.0
436,2013-01-16,3963.0,523.0,1.0,0.0,0,0.0,3.0,0.34820163,0.93741965,0.5,0.8660254,1,0,0,1,4221.0,1,4242.0,1,3473.0,1,6348.0,1,5260.0,0,0.0,0,0.0,0,0.0
436,2013-01-17,3589.0,484.0,1.0,0.0,0,0.0,4.0,0.34820163,0.93741965,0.5,0.8660254,1,0,0,1,3963.0,1,4221.0,1,0.0,1,6077.0,1,3559.0,1,0.0,0,0.0,0,0.0
436,2013-01-18,4867.0,593.0,1.0,0.0,0,0.0,5.0,0.34820163,0.93741965,0.5,0.8660254,1,0,0,1,3589.0,1,3963.0,1,4242.0,1,5640.0,1,0.0,1,4831.0,0,0.0,0,0.0
436,2013-01-19,3421.0,418.0,1.0,0.0,0,0.0,6.0,0.34820163,0.93741965,0.5,0.8660254,1,0,0,1,4867.0,1,3589.0,1,4221.0,1,5931.0,1,8396.0,1,4628.0,0,0.0,0,0.0
436,2013-01-20,0.0,0.0,0.0,0.0,0,0.0,7.0,0.34820163,0.93741965,0.5,0.8660254,1,0,0,1,3421.0,1,4867.0,1,3963.0,1,3473.0,1,6348.0,1,5260.0,0,0.0,0,0.0
436,2013-01-21,6234.0,687.0,1.0,1.0,0,0.0,1.0,0.45662925,0.8896571,0.5,0.8660254,1,0,0,1,0.0,1,3421.0,1,3589.0,1,0.0,1,6077.0,1,3559.0,0,0.0,0,0.0
436,2013-01-22,6038.0,669.0,1.0,1.0,0,0.0,2.0,0.45662925,0.8896571,0.5,0.8660254,1,0,0,1,6234.0,1,0.0,1,4867.0,1,4242.0,1,5640.0,1,0.0,0,0.0,0,0.0
436,2013-01-23,5472.0,611.0,1.0,1.0,0,0.0,3.0,0.45662925,0.8896571,0.5,0.8660254,1,0,0,1,6038.0,1,6234.0,1,3421.0,1,4221.0,1,5931.0,1,8396.0,0,0.0,0,0.0
436,2013-01-24,4975.0,564.0,1.0,1.0,0,0.0,4.0,0.45662925,0.8896571,0.5,0.8660254,1,0,0,1,5472.0,1,6038.0,1,0.0,1,3963.0,1,3473.0,1,6348.0,0,0.0,0,0.0
436,2013-01-25,5824.0,657.0,1.0,1.0,0,0.0,5.0,0.45662925,0.8896571,0.5,0.8660254,1,0,0,1,4975.0,1,5472.0,1,6234.0,1,3589.0,1,0.0,1,6077.0,1,0.0,0,0.0
436,2013-01-26,3181.0,416.0,1.0,0.0,0,0.0,6.0,0.45662925,0.8896571,0.5,0.8660254,1,0,0,1,5824.0,1,4975.0,1,6038.0,1,4867.0,1,4242.0,1,5640.0,1,4831.0,0,0.0
