id,timestamp,target,Customers,Open,Promo,StateHoliday,SchoolHoliday,DayOfWeek,week_sin,week_cos,month_sin,month_cos,quarter,is_month_start,is_month_end,lag_1_known,lag_1,lag_2_known,lag_2,lag_4_known,lag_4,lag_8_known,lag_8,lag_12_known,lag_12,lag_16_known,lag_16,lag_24_known,lag_24,lag_52_known,lag_52,ema_4,ema_8,chg_1
885,2013-01-01,0.0,0.0,0.0,0.0,1,1.0,2.0,0.11827317,0.9929811,0.5,0.8660254,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
885,2013-01-02,4198.0,638.0,1.0,0.0,0,1.0,3.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
885,2013-01-03,3709.0,571.0,1.0,0.0,0,1.0,4.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,4198.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1679.2,932.8889,4198.0
885,2013-01-04,3760.0,571.0,1.0,0.0,0,1.0,5.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,3709.0,1,4198.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2491.12,1549.8025,-489.0
885,2013-01-05,3447.0,555.0,1.0,0.0,0,0.0,6.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,3760.0,1,3709.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2998.672,2040.9575,51.0
885,2013-01-06,0.0,0.0,0.0,0.0,0,0.0,7.0,0.11827317,0.9929811,0.5,0.8660254,1,0,0,1,3447.0,1,3760.0,1,4198.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3178.0032,2353.4114,-313.0
885,2013-01-07,6003.0,703.0,1.0,1.0,0,0.0,1.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,0.0,1,3447.0,1,3709.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1906.8019,1830.431,-3447.0
885,2013-01-08,6145.0,753.0,1.0,1.0,0,0.0,2.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,6003.0,1,0.0,1,3760.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3545.2812,2757.6687,6003.0
885,2013-01-09,4319.0,597.0,1.0,1.0,0,0.0,3.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,6145.0,1,6003.0,1,3447.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4585.1685,3510.409,142.0
885,2013-01-10,4836.0,675.0,1.0,1.0,0,0.0,4.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,4319.0,1,6145.0,1,0.0,1,4198.0,0,0.0,0,0.0,0,0.0,0,0.0,4478.701,3690.0957,-1826.0
885,2013-01-11,4169.0,625.0,1.0,1.0,0,0.0,5.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,4836.0,1,4319.0,1,6003.0,1,3709.0,0,0.0,0,0.0,0,0.0,0,0.0,4621.6206,3944.7412,517.0
885,2013-01-12,3717.0,564.0,1.0,0.0,0,0.0,6.0,0.23488605,0.9720229,0.5,0.8660254,1,0,0,1,4169.0,1,4836.0,1,6145.0,1,3760.0,0,0.0,0,0.0,0,0.0,0,0.0,4440.5723,3994.5764,-667.0
