p10,median,p90
9575.458,11257.445,13193.52
9846.34,11592.828,13805.987
4038.8396,5548.682,7193.517
-1502.6377,-202.10303,1355.3232
7872.1777,9397.043,11125.54
7260.5283,8531.423,10089.781
6992.0986,8217.361,9747.583
7032.653,8251.236,9793.173
7237.9966,8490.57,9980.494
5012.667,6391.95,7775.0938
-321.85645,782.7988,2287.0967
10949.41,12726.929,14989.897
10001.031,11656.919,13756.123
9022.616,10628.295,12683.262
8851.48,10408.002,12338.848
8791.52,10421.122,12511.026
3503.4507,4847.425,6392.367
-864.2119,321.34814,1726.6094
7736.074,9176.082,10791.932
6824.8325,8227.143,9983.42
6173.9883,7467.38,9117.312
6867.254,8215.414,9921.997
7021.485,8428.032,10176.836
4520.961,6038.826,7810.728
-798.5381,290.53076,1858.1675
11646.426,13893.2,16948.746
10137.731,12331.665,15254.57
9002.186,11248.438,14254.955
9246.041,11476.175,14430.791
9111.587,11543.568,14510.187
