p10,median,p90
5166.498,6746.721,8111.1714
4949.907,6735.1924,8320.557
3586.0706,5708.9536,7418.0
-1175.1846,-173.70068,1123.456
2233.5396,5294.7407,7317.3965
2205.7188,4994.5337,6964.2188
1889.0754,4252.058,6114.051
1288.6653,3462.465,5569.8784
1951.5261,4179.6514,6013.758
1387.2563,3927.9019,5776.2256
-1406.0122,42.787598,1496.5198
2352.9148,5960.466,8062.119
2419.8384,5905.585,8117.33
2032.133,5465.3774,7682.418
1838.4678,5128.323,7140.289
1568.6995,4990.964,7198.918
2129.7583,4089.5908,6081.397
-1227.1465,-275.0747,911.4863
3334.052,5357.921,7145.498
3241.2544,5236.842,6940.223
2988.435,4867.806,6567.7793
2739.6821,4636.52,6332.4233
2868.6118,4696.299,6370.0425
2976.1409,4787.9014,6463.0156
-715.1953,90.32422,1225.1436
4743.833,6701.793,8808.666
4625.7666,6549.667,8702.822
4128.174,6136.306,8169.4087
4028.1934,5913.3857,7938.2456
3953.5762,5830.618,7596.5693
