scenario,shop_id,core_cluster,final_cluster,is_outlier_core,is_outlier_final,assign_confidence,nearest_cluster,nearest_dist,cluster_prob_core,outlier_score
S3_larger_min_cluster,484,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,6,2,2,False,False,0.9209282046944425,-1,,0.9209282046944425,0.07907179530555757
S3_larger_min_cluster,65,2,2,False,False,0.7635318063535771,-1,,0.7635318063535771,0.23646819364642285
S3_larger_min_cluster,333,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,1036,1,1,False,False,0.9889993430540784,-1,,0.9889993430540784,0.011000656945921613
S3_larger_min_cluster,409,0,0,False,False,1.0,-1,,1.0,0.06368492121973723
S3_larger_min_cluster,1029,2,2,False,False,0.9209282046944425,-1,,0.9209282046944425,0.07907179530555757
S3_larger_min_cluster,117,1,1,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,907,1,1,False,False,1.0,-1,,1.0,0.051882200883586777
S3_larger_min_cluster,290,1,1,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,966,1,1,False,False,1.0,-1,,1.0,0.07197714719636675
S3_larger_min_cluster,1069,2,2,False,False,1.0,-1,,1.0,0.19544826730444853
S3_larger_min_cluster,1070,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,969,0,0,False,False,1.0,-1,,1.0,0.46437823839806963
S3_larger_min_cluster,29,1,1,False,False,0.8684831015729935,-1,,0.8684831015729935,0.13151689842700656
S3_larger_min_cluster,101,0,0,False,False,1.0,-1,,1.0,0.15662702851660917
S3_larger_min_cluster,11,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,790,0,0,False,False,1.0,-1,,1.0,0.22489187168531186
S3_larger_min_cluster,389,0,0,False,False,1.0,-1,,1.0,0.11756806533983716
S3_larger_min_cluster,496,2,2,False,False,0.43727189801452737,-1,,0.43727189801452737,0.5627281019854726
S3_larger_min_cluster,590,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,505,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,146,1,1,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,373,0,0,False,False,1.0,-1,,1.0,0.06368492121973723
S3_larger_min_cluster,1105,1,1,False,False,1.0,-1,,1.0,0.1390518125354231
S3_larger_min_cluster,34,0,0,False,False,1.0,-1,,1.0,0.042436154436766994
S3_larger_min_cluster,66,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,572,1,1,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,374,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,742,1,1,False,False,1.0,-1,,1.0,0.03640094572033428
S3_larger_min_cluster,323,0,0,False,False,1.0,-1,,1.0,0.1721982806367485
S3_larger_min_cluster,241,1,1,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,866,0,0,False,False,1.0,-1,,1.0,0.1006507313215103
S3_larger_min_cluster,96,2,2,False,False,1.0,-1,,1.0,0.19544826730444853
S3_larger_min_cluster,339,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,760,0,0,False,False,1.0,-1,,1.0,0.042436154436766994
S3_larger_min_cluster,692,1,1,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,834,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,980,1,1,False,False,1.0,-1,,1.0,0.04866145839722501
S3_larger_min_cluster,800,0,0,False,False,0.9866509408497401,-1,,0.9866509408497401,0.013349059150259815
S3_larger_min_cluster,250,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,257,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,720,0,0,False,False,1.0,-1,,1.0,0.046336752910369663
S3_larger_min_cluster,803,0,0,False,False,1.0,-1,,1.0,0.0
S3_larger_min_cluster,369,0,0,False,False,1.0,-1,,1.0,0.18334135769919296
S3_larger_min_cluster,418,1,1,False,False,1.0,-1,,1.0,0.04866145839722501
S3_larger_min_cluster,887,0,0,False,False,1.0,-1,,1.0,0.07533604274487697
S3_larger_min_cluster,1087,0,0,False,False,1.0,-1,,1.0,0.10140288588629745
S3_larger_min_cluster,276,2,2,False,False,0.9209282046944425,-1,,0.9209282046944425,0.07907179530555757
S3_larger_min_cluster,957,2,2,False,False,0.43727189801452737,-1,,0.43727189801452737,0.5627281019854726
S3_larger_min_cluster,502,0,0,False,False,1.0,-1,,1.0,0.08000478163256436
