timestamp,y_true,Open
2015-07-02,3273.0,1.0
2015-07-03,3536.0,1.0
2015-07-04,2797.0,1.0
2015-07-05,0.0,0.0
2015-07-06,3201.0,1.0
2015-07-07,2742.0,1.0
2015-07-08,2839.0,1.0
2015-07-09,3034.0,1.0
2015-07-10,2527.0,1.0
2015-07-11,2590.0,1.0
2015-07-12,0.0,0.0
2015-07-13,3858.0,1.0
2015-07-14,4147.0,1.0
2015-07-15,4024.0,1.0
2015-07-16,3073.0,1.0
2015-07-17,3139.0,1.0
2015-07-18,2725.0,1.0
2015-07-19,0.0,0.0
2015-07-20,2530.0,1.0
2015-07-21,2830.0,1.0
2015-07-22,2783.0,1.0
2015-07-23,2879.0,1.0
2015-07-24,2715.0,1.0
2015-07-25,2543.0,1.0
2015-07-26,0.0,0.0
2015-07-27,3851.0,1.0
2015-07-28,3578.0,1.0
2015-07-29,3700.0,1.0
2015-07-30,3287.0,1.0
2015-07-31,3671.0,1.0
