timestamp,y_true,Open,Promo,SchoolHoliday,StateHoliday,DayOfWeek,Customers
2015-07-02,7291.0,1.0,1.0,1.0,0,4.0,775.0
2015-07-03,8166.0,1.0,1.0,1.0,0,5.0,834.0
2015-07-04,6597.0,1.0,0.0,0.0,0,6.0,762.0
2015-07-05,0.0,0.0,0.0,0.0,0,7.0,0.0
2015-07-06,6800.0,1.0,0.0,1.0,0,1.0,796.0
2015-07-07,6455.0,1.0,0.0,1.0,0,2.0,745.0
2015-07-08,6339.0,1.0,0.0,1.0,0,3.0,717.0
2015-07-09,6066.0,1.0,0.0,1.0,0,4.0,686.0
2015-07-10,7131.0,1.0,0.0,1.0,0,5.0,786.0
2015-07-11,7358.0,1.0,0.0,0.0,0,6.0,743.0
2015-07-12,0.0,0.0,0.0,0.0,0,7.0,0.0
2015-07-13,9061.0,1.0,1.0,1.0,0,1.0,900.0
2015-07-14,7247.0,1.0,1.0,1.0,0,2.0,767.0
2015-07-15,7955.0,1.0,1.0,1.0,0,3.0,830.0
2015-07-16,7966.0,1.0,1.0,1.0,0,4.0,818.0
2015-07-17,6778.0,1.0,1.0,1.0,0,5.0,769.0
2015-07-18,6795.0,1.0,0.0,0.0,0,6.0,736.0
2015-07-19,0.0,0.0,0.0,0.0,0,7.0,0.0
2015-07-20,6750.0,1.0,0.0,1.0,0,1.0,785.0
2015-07-21,5420.0,1.0,0.0,1.0,0,2.0,662.0
2015-07-22,5999.0,1.0,0.0,1.0,0,3.0,687.0
2015-07-23,5434.0,1.0,0.0,1.0,0,4.0,661.0
2015-07-24,5804.0,1.0,0.0,1.0,0,5.0,717.0
2015-07-25,5241.0,1.0,0.0,0.0,0,6.0,609.0
2015-07-26,0.0,0.0,0.0,0.0,0,7.0,0.0
2015-07-27,8262.0,1.0,1.0,1.0,0,1.0,850.0
2015-07-28,6272.0,1.0,1.0,1.0,0,2.0,711.0
2015-07-29,6493.0,1.0,1.0,1.0,0,3.0,695.0
2015-07-30,7076.0,1.0,1.0,1.0,0,4.0,681.0
2015-07-31,10141.0,1.0,1.0,1.0,0,5.0,930.0
