timestamp,y_true,Open
2015-07-02,8992.0,1.0
2015-07-03,9090.0,1.0
2015-07-04,7328.0,1.0
2015-07-05,0.0,0.0
2015-07-06,7619.0,1.0
2015-07-07,6113.0,1.0
2015-07-08,6880.0,1.0
2015-07-09,7103.0,1.0
2015-07-10,7504.0,1.0
2015-07-11,7081.0,1.0
2015-07-12,0.0,0.0
2015-07-13,12719.0,1.0
2015-07-14,9256.0,1.0
2015-07-15,8590.0,1.0
2015-07-16,8037.0,1.0
2015-07-17,7767.0,1.0
2015-07-18,7425.0,1.0
2015-07-19,0.0,0.0
2015-07-20,6692.0,1.0
2015-07-21,6239.0,1.0
2015-07-22,5689.0,1.0
2015-07-23,6247.0,1.0
2015-07-24,6630.0,1.0
2015-07-25,6169.0,1.0
2015-07-26,0.0,0.0
2015-07-27,11014.0,1.0
2015-07-28,8763.0,1.0
2015-07-29,8765.0,1.0
2015-07-30,9353.0,1.0
2015-07-31,10460.0,1.0
