timestamp,Open,PromoEff,ClosedRunLen,DaysToNextOpen,OpenCat
2015-07-02,1.0,1,0,0,1
2015-07-03,1.0,1,0,0,1
2015-07-04,1.0,0,0,0,1
2015-07-05,0.0,0,1,1,0
2015-07-06,1.0,0,0,0,1
2015-07-07,1.0,0,0,0,1
2015-07-08,1.0,0,0,0,1
2015-07-09,1.0,0,0,0,1
2015-07-10,1.0,0,0,0,1
2015-07-11,1.0,0,0,0,1
2015-07-12,0.0,0,1,1,0
2015-07-13,1.0,1,0,0,1
2015-07-14,1.0,1,0,0,1
2015-07-15,1.0,1,0,0,1
2015-07-16,0.0,0,1,60,0
2015-07-17,0.0,0,2,60,0
2015-07-18,0.0,0,3,60,0
2015-07-19,0.0,0,4,60,0
2015-07-20,0.0,0,5,60,0
2015-07-21,0.0,0,6,60,0
2015-07-22,0.0,0,7,60,0
2015-07-23,0.0,0,8,60,0
2015-07-24,0.0,0,9,60,0
2015-07-25,0.0,0,10,60,0
2015-07-26,0.0,0,11,60,0
2015-07-27,0.0,0,12,60,0
2015-07-28,0.0,0,13,60,0
2015-07-29,0.0,0,14,60,0
2015-07-30,0.0,0,15,60,0
2015-07-31,0.0,0,16,60,0
