timestamp,p10,median,p90
2015-07-02,5146.8394,5667.512,6230.5156
2015-07-03,4921.3735,5489.7236,6082.065
2015-07-04,2592.59,3067.811,3580.0488
2015-07-05,-386.74268,1.6533203,455.15967
2015-07-06,4100.097,4587.05,5085.366
2015-07-07,3703.337,4145.1475,4595.165
2015-07-08,3858.6365,4287.3506,4772.2466
2015-07-09,3896.1648,4341.723,4800.5522
2015-07-10,3817.3833,4225.4053,4701.2363
2015-07-11,3098.1997,3583.2407,4130.5044
2015-07-12,-285.1333,36.081787,600.54736
2015-07-13,5777.4243,6464.3716,7480.5635
2015-07-14,5058.6006,5740.933,6589.3467
2015-07-15,5146.6685,5903.698,6898.08
2015-07-16,4485.65,5204.5737,6203.882
2015-07-17,5836.862,6816.0547,8273.166
2015-07-18,3833.1497,4977.857,6635.7324
2015-07-19,1167.7527,1969.5181,3467.8188
2015-07-20,5311.7407,6501.59,8509.828
2015-07-21,4655.6543,5831.7334,7756.549
2015-07-22,4926.2427,6007.21,7953.5107
2015-07-23,4676.366,5813.5537,7682.4414
2015-07-24,4873.4604,6048.532,8098.767
2015-07-25,4263.51,5554.57,7793.3555
2015-07-26,909.20703,1689.3145,3817.356
2015-07-27,7128.0376,9307.111,14194.309
2015-07-28,6322.5264,8207.293,12380.489
2015-07-29,5966.0767,7945.0645,12091.713
2015-07-30,5545.5596,7743.69,12302.913
2015-07-31,5801.627,8068.838,13087.032
