timestamp,p10,median,p90
2015-05-03,-1338.2524,27.94873,1429.9502
2015-05-04,7004.6016,8510.471,10181.66
2015-05-05,6018.412,7395.7354,8891.03
2015-05-06,6053.8643,7407.998,8955.183
2015-05-07,4310.8164,5766.9443,7175.3003
2015-05-08,4201.0435,5671.62,7083.7856
2015-05-09,2804.657,4314.7085,5771.7925
2015-05-10,-1552.0718,-167.2373,1392.363
2015-05-11,4695.0566,6297.8794,8124.4414
2015-05-12,3023.1772,4906.403,6741.0693
2015-05-13,3292.5986,5139.61,6917.3423
2015-05-14,-2594.6694,-792.93945,1034.6216
2015-05-15,3870.44,5902.366,7693.927
2015-05-16,4344.6816,6243.782,8065.7227
2015-05-17,-485.35498,1069.7148,2941.94
2015-05-18,6353.246,7978.751,9617.652
2015-05-19,5299.7373,6898.596,8481.386
2015-05-20,4436.2896,6100.425,7732.264
2015-05-21,4791.3384,6245.293,7797.743
2015-05-22,3884.643,5484.273,7164.964
2015-05-23,3743.6138,5457.564,7204.924
2015-05-24,-1781.7329,-138.01172,1577.0244
2015-05-25,-2420.5278,-648.437,1204.0759
2015-05-26,5085.0635,6840.6367,8828.735
2015-05-27,3703.7646,5413.823,7204.701
2015-05-28,4549.96,6091.2383,7838.3604
2015-05-29,3533.2756,5162.738,6907.8066
2015-05-30,3985.2095,5723.5547,7552.675
2015-05-31,-1148.75,305.69434,1959.8428
2015-06-01,7100.2314,8865.774,10771.061
2015-06-02,5726.4014,7480.4214,9264.148
2015-06-03,5213.1914,6964.621,8796.755
2015-06-04,-3576.8232,-1450.1343,497.90918
2015-06-05,5914.835,7533.8945,9434.79
2015-06-06,3019.9502,4438.111,5932.636
2015-06-07,-1685.9106,-415.6006,876.6089
2015-06-08,4988.291,6129.2114,7433.3584
2015-06-09,4044.9897,5179.096,6405.503
2015-06-10,3883.6528,5042.4775,6315.3936
2015-06-11,3848.5088,5084.919,6368.7344
2015-06-12,4430.8774,5548.37,6708.6475
2015-06-13,4609.695,5715.7817,6856.4385
2015-06-14,-918.833,167.78418,1379.0154
2015-06-15,6853.9385,8065.3193,9452.446
2015-06-16,5748.17,7044.917,8386.977
2015-06-17,4982.767,6238.337,7532.2773
2015-06-18,4658.146,5756.806,7026.204
2015-06-19,4443.249,5461.7466,6666.131
2015-06-20,2699.9949,3738.916,4778.2715
2015-06-21,-578.16846,265.2544,1210.1301
2015-06-22,3902.0688,4895.2886,6016.2236
2015-06-23,3378.0288,4398.1665,5520.3057
2015-06-24,3285.0476,4279.3296,5412.0674
2015-06-25,3399.2275,4414.501,5535.6494
2015-06-26,4192.9785,5149.2617,6300.8057
2015-06-27,4164.842,5140.73,6422.5615
2015-06-28,-202.95605,507.04834,1475.6353
2015-06-29,7416.163,8645.444,10197.896
2015-06-30,6137.5264,7186.946,8530.901
2015-07-01,5656.6978,6640.9204,7835.373
2015-07-02,5375.9565,6380.0234,7516.458
2015-07-03,5447.6294,6462.5625,7682.0947
2015-07-04,2857.163,3852.295,4934.1562
2015-07-05,-710.71875,123.30615,1111.2817
2015-07-06,4617.4434,5506.943,6493.7754
2015-07-07,3919.0076,4829.4316,5897.2734
2015-07-08,3710.3074,4553.349,5460.147
2015-07-09,3857.013,4694.84,5568.972
2015-07-10,4042.4868,4848.9766,5753.268
2015-07-11,4130.7534,4967.1577,5971.2217
2015-07-12,-359.0249,422.43262,1349.5383
2015-07-13,6675.8013,7733.6465,9044.945
2015-07-14,5550.8115,6451.312,7568.2705
2015-07-15,5399.7275,6285.7046,7359.412
2015-07-16,5043.3853,5908.2725,6942.085
2015-07-17,5053.3154,5946.254,7011.8965
2015-07-18,2419.7346,3359.114,4359.175
2015-07-19,-635.20215,187.70752,1131.0449
2015-07-20,4172.4946,5103.7334,6133.1597
2015-07-21,3807.092,4856.919,5916.3955
2015-07-22,3370.6216,4318.112,5283.008
2015-07-23,3062.457,3952.965,4827.5796
2015-07-24,3490.7783,4404.2676,5302.9653
2015-07-25,3977.8381,4971.4463,6131.3477
2015-07-26,-905.65625,-72.43799,995.1885
2015-07-27,7655.3174,9058.592,10890.343
2015-07-28,6350.771,7615.6465,9379.139
2015-07-29,5918.2715,7205.453,8968.215
2015-07-30,5400.8213,6684.8228,8528.543
2015-07-31,5257.8237,6520.179,8325.292
