p10,median,p90
3956.9531,5801.6626,7524.9805
4387.865,6227.457,8042.5327
3632.7644,5656.8247,7412.7144
-2971.9849,-1181.5503,757.20264
3573.2856,5706.0728,7462.8213
3730.0874,5556.512,7088.4062
3342.56,5033.799,6390.9766
2793.046,4389.4434,5697.714
3668.8828,5307.1694,6604.192
3525.1284,5246.408,6652.101
-1770.731,-228.64453,1508.2454
4563.776,6636.5903,8543.715
4450.364,6635.3853,8556.878
3369.148,5698.501,7753.5537
2929.4302,5223.4253,7228.891
3874.085,6098.7847,8004.414
3806.4312,5474.341,6936.96
-1926.9702,-552.0571,899.8181
4092.4646,5887.5166,7422.6226
3609.998,5406.447,6950.367
3186.5857,4863.6665,6333.5986
3227.3994,4896.554,6290.4434
3442.6719,5147.882,6550.5034
3320.879,5072.896,6607.6396
-1320.0298,-150.43701,1233.1909
4886.025,6711.941,8634.534
4779.5796,6612.9746,8585.87
4065.2524,6214.0234,8311.946
3804.5771,6004.619,8206.92
4237.723,6468.178,8533.416
