p10,median,p90
7854.095,10109.688,13453.667
8124.503,10427.995,13914.573
6435.8296,8278.346,10785.498
-1838.8037,-484.29932,1571.4238
7116.5444,8941.54,11346.139
6638.9644,8133.6587,10218.194
6175.8247,7604.5415,9545.303
6490.2236,7892.2515,9841.557
7308.0713,8781.399,10679.25
7436.6216,8983.441,11200.873
-646.7749,502.0371,2493.0674
9439.35,11573.99,15336.826
8181.821,10100.961,13215.613
7194.243,9049.104,11979.624
6756.0464,8666.614,11364.02
7420.2915,9503.239,12415.727
5914.2134,7536.712,9495.594
-1254.2451,12.377441,1602.1172
7218.7974,8951.341,11237.299
6299.535,7997.765,10160.598
5803.151,7224.49,9101.093
6426.5464,7855.652,9685.668
7108.915,8654.338,10721.391
7035.455,8762.465,11149.011
-688.56006,350.22803,2102.3145
9692.038,12513.964,17474.164
8088.375,10802.793,14871.339
7103.215,9798.648,13797.613
7333.1147,9958.621,13892.429
7654.472,10469.846,14311.648
