p10,median,p90
5972.998,7688.722,9352.378
6396.6978,8056.9844,9706.0205
5196.5684,6877.2593,8481.971
-1978.9292,-538.65625,975.6675
5335.574,7052.6553,8650.516
4425.132,6122.8403,7700.286
4090.7236,5748.4106,7310.487
3538.14,5189.178,6684.716
4648.0615,6231.7285,7720.247
5064.063,6607.6084,8104.827
-1283.2944,-12.311035,1406.6816
6991.3926,8557.564,10273.599
6338.3853,7888.164,9536.397
5434.7017,7028.505,8649.424
4624.4473,6264.917,7874.171
5448.1895,7109.224,8703.344
4213.769,5824.7983,7346.5615
-1809.9707,-332.43848,1080.6401
5000.455,6560.5225,8045.3477
4109.9473,5838.7876,7495.4604
3264.5957,5037.021,6688.0635
3313.5146,5041.8564,6580.5933
3959.9463,5756.3105,7411.74
5075.7925,6738.9033,8400.766
-1282.7549,40.220703,1415.811
7495.467,9507.86,11530.874
6847.102,8813.109,10828.855
6106.0703,8261.577,10363.104
5871.5405,8170.8057,10308.578
6327.673,8554.263,10638.221
