p10,median,p90
7846.575,9364.286,11087.074
8870.464,10752.135,13121.346
3695.5667,4994.086,6331.277
-461.7539,322.98975,1373.4253
7712.3555,9188.738,11053.903
6807.1655,8088.824,9573.934
6930.8027,8159.859,9644.189
5764.2383,7023.3716,8429.991
6581.964,7872.0073,9280.5625
4102.0537,5290.7334,6466.753
-553.95264,136.08203,1286.8662
8811.736,10955.441,14247.531
7843.5635,9576.656,12225.135
7559.518,9373.637,12155.686
5606.883,7709.436,10671.508
9527.516,12677.064,17572.086
4670.697,6806.5044,9244.945
761.4878,1763.4272,3170.1372
8886.892,11686.061,15610.278
8112.9214,10516.289,13991.248
7949.9424,10230.838,13758.621
7118.104,9109.095,12058.117
7514.507,9901.938,13516.979
5473.8335,8350.51,13287.729
649.6709,1973.4971,5468.541
9346.51,15947.668,27263.727
8769.875,14473.295,24874.262
7947.7495,14251.924,25299.129
7013.4077,13341.601,25093.537
7936.04,14779.588,27260.945
