p10,median,p90
15010.221,18675.744,24028.299
16783.424,20400.334,26172.076
15756.625,19548.027,24824.691
-3094.2422,-746.1875,3264.8037
16212.368,19498.451,24096.346
14983.522,17794.207,21926.035
14053.595,16741.262,20737.705
13193.808,15880.1875,20070.14
15378.617,18221.014,22334.754
15829.924,19056.572,23658.984
-1347.0322,861.15625,4872.0938
17571.605,21067.43,26686.523
16890.355,20430.906,25929.133
14062.751,17326.676,22615.521
13152.425,16693.578,21911.564
14983.451,18734.066,24303.543
14650.178,17635.426,21461.979
-2339.0566,130.78223,3230.4375
14921.413,18151.986,22554.129
13209.354,16432.475,20709.76
11502.473,14053.584,17733.648
12525.539,15303.044,19106.234
14264.939,17464.127,22036.928
14522.566,18283.027,23615.744
-1089.4639,1094.6016,5033.2754
17283.607,22709.04,31928.197
16952.318,22587.701,32000.379
14148.551,20088.02,29559.27
14446.979,20468.248,29977.262
14950.168,21209.371,30852.709
