p10,median,p90
8242.297,9746.451,12068.436
7941.997,9600.59,12122.909
6927.6357,8341.958,10538.082
-1047.8003,-80.12158,1514.6533
6853.8877,8485.9,11004.086
6466.633,7870.8203,10137.738
5420.2676,6852.477,8949.933
6051.41,7470.2046,9708.168
6226.7534,7672.347,9931.664
6930.5176,8466.743,11072.384
-659.5786,175.73486,2179.8975
8791.867,10813.677,15103.503
8058.3154,9909.32,13486.828
7283.76,9072.063,12659.135
6874.6504,8843.352,12287.529
6925.1914,9162.174,12778.632
6407.8145,7886.0957,9919.34
-457.8911,339.4756,1557.5317
7475.272,9202.771,11452.944
6882.717,8476.916,10687.109
6268.9297,7703.614,9854.241
6659.835,8097.871,10260.813
6582.601,8095.0747,10199.337
6748.0654,8216.026,10528.141
-594.3711,30.867676,1445.3389
8401.776,10548.148,14446.766
7545.6064,9571.822,12744.329
6620.6353,8606.938,11656.861
7058.715,9054.449,12270.441
7006.115,9169.782,12374.752
