p10,median,p90
18490.217,19946.469,21396.133
18980.955,20449.854,21959.0
12517.475,14020.52,15516.432
18401.842,19936.428,21478.602
17008.225,18571.373,20155.508
15416.462,16926.707,18376.635
14891.446,16363.121,17876.242
14639.667,16105.561,17570.229
16159.829,17650.484,19145.857
11878.204,13460.132,14958.272
17766.445,19303.57,20879.832
18734.678,20266.152,21889.62
17719.572,19256.484,20810.125
17323.64,18937.809,20525.969
16961.379,18552.33,20244.848
17764.207,19393.252,20992.855
12565.571,14109.189,15878.614
17366.678,19003.49,20662.684
16224.542,17909.629,19652.768
14388.119,15980.541,17678.383
14109.148,15705.56,17406.828
13932.545,15569.793,17304.424
15749.396,17339.242,19006.178
11960.603,13657.637,15413.66
17438.68,19166.023,20857.9
18424.146,20107.256,21827.771
18316.994,20015.7,21853.44
18922.908,20668.734,22532.83
18806.215,20626.21,22517.652
19980.082,21895.629,23740.727
