p10,median,p90
6300.7026,7427.9917,8572.068
5495.6743,6540.491,7678.4805
1782.7856,2788.2417,3813.4277
-1574.9648,-668.5913,309.45898
5840.528,7134.7803,8506.796
5115.6475,6172.551,7376.396
4548.1543,5581.136,6743.3584
5005.0366,5959.742,7051.959
4762.702,5749.987,6824.2227
2054.9714,3031.7664,4059.1729
-175.67188,606.0156,1603.8564
7672.6016,9144.637,10960.87
6694.372,8147.0405,9867.773
5068.812,6478.322,8051.1064
5124.3335,6427.193,7909.7295
4409.896,5888.378,7302.9385
1053.2803,2068.7397,3115.712
-1579.1782,-630.9258,368.11035
5462.3823,6912.339,8390.381
4476.1045,5868.167,7306.411
3643.4924,4885.189,6228.085
4741.1567,5886.6978,7199.316
4230.292,5460.474,6755.7856
1717.0161,2793.4766,4031.5537
-541.82666,325.3413,1384.3066
6976.5186,8824.529,10980.973
6175.4355,7882.7593,10001.497
5169.1772,6822.5537,8755.597
5331.777,6968.881,8808.659
4902.7427,6537.8203,8476.963
