shop_id,mean_target,std_target,cv_target,iqr_target,mean_abs_chg,std_chg,spike_rate,corr_lag1,corr_lag4,corr_lag12,corr_lag52,ema_gap,weekly_strength,monthly_strength,yearly_strength,promo_rate,promo_lift,holiday_lift,closed_rate,mean_target_open,cluster
1,3945.704883227176,2015.4178398114689,0.5107877803705073,6380.799999999999,1975.4288747346072,3022.8084076703376,0.1878980891719745,-0.1227432823703698,-0.0003189607075236,-0.0805243892141325,-0.0160755301630184,313.5287668789809,9155332.659085684,8964309.948598906,0.0160755301630184,0.3821656050955414,1953.891265750286,38.38819289276898,0.1709129511677282,4759.096030729834,2
2,4122.991507430997,2363.6286743106334,0.5732800248259815,7492.249999999999,2097.030785562633,2975.0738829947604,0.1231422505307855,0.2088207191493328,-0.2815016266699934,-0.1010545724423148,-0.2361688861503945,438.845183014862,10672264.22948316,10479670.544338267,0.2361688861503945,0.3821656050955414,3317.75824742268,918.2537994977793,0.167728237791932,4953.900510204082,3
3,5741.253715498939,3298.7825587940824,0.5745752969101853,10481.05,2930.648619957537,4294.555723660061,0.1316348195329087,0.1536429136328765,-0.1257548350122278,-0.1521385875271198,-0.1185025106192584,605.3373642250532,20288410.516734198,20037566.19053548,0.1185025106192584,0.3821656050955414,4641.070446735394,1265.5621304480337,0.173036093418259,6942.568677792041,0
4,8021.7696390658175,4012.592818027456,0.5002129203493973,13119.85,4094.512738853504,6227.254232111126,0.1624203821656051,-0.2035360771492454,-0.0198798556831471,-0.0765373403647613,0.0014592676732292,606.2909442675159,37882187.24668542,37393390.93206188,0.0014592676732292,0.3821656050955414,3801.571248568155,1572.4960950712957,0.167728237791932,9638.401785714286,4
5,3867.110403397028,2389.609890064261,0.6179316440893952,7622.199999999999,2102.536093418259,3033.269340146164,0.1210191082802547,0.1954139096671199,-0.1927311029955144,-0.1646431612293531,-0.1648886206717938,445.3650214437368,9565983.080363678,9402746.120825993,0.1648886206717938,0.3821656050955414,3361.9951890034363,770.9336152219871,0.173036093418259,4676.274711168165,3
6,4562.375796178344,2527.359297586068,0.5539568439647482,7994.349999999999,2330.405520169852,3359.20366860178,0.113588110403397,0.1180759669326745,-0.0790621088010488,-0.1596044092879021,-0.0860826963624536,414.5332238853503,13173147.404265782,12765095.42995772,0.0860826963624536,0.3821656050955414,3127.61675257732,495.2567351253392,0.1719745222929936,5509.946153846154,0
7,7356.902335456475,3969.299824359295,0.5395341195015981,12994.849999999997,3784.016985138004,5434.095797409038,0.1125265392781316,0.0620835953945146,-0.0328279445843493,-0.212663704918956,-0.0147241979869541,632.9794818471337,32170284.67057374,32166660.25690934,0.0147241979869541,0.3821656050955414,4840.8430412371135,2390.335526157257,0.1656050955414012,8817.050890585242,0
8,4610.251592356688,2696.8837720781403,0.5849754004671489,8629.05,2402.932059447983,3394.1159268658043,0.1114649681528662,0.2084010275811947,-0.1838389706231262,-0.1289765060334123,-0.1383676204996989,492.3386740976646,13643994.74258061,13310857.785856798,0.1383676204996989,0.3821656050955414,3827.101718213058,892.6743054049502,0.167728237791932,5539.3584183673465,0
9,5426.816348195329,2891.687965777453,0.5328516352329157,9513.949999999995,2836.1135881104037,4258.983765795761,0.1411889596602972,-0.08334555074832,0.0267042126997836,-0.0499591511511707,0.0636592625097871,444.3022878980891,17714478.327468578,17423408.794872273,0.0636592625097871,0.3821656050955414,3138.615750286369,914.1952148735144,0.173036093418259,6562.337612323492,4
10,4634.43949044586,2291.821079819113,0.4945195819363492,7494.799999999999,2264.176220806794,3375.933175085451,0.1210191082802547,-0.0833810450618766,-0.0491950947720438,-0.1458154396661221,-0.0072627340401748,349.2663626326964,12574518.81792937,12330216.275879975,0.0072627340401748,0.3821656050955414,2512.534049255441,-146.36244835081652,0.167728237791932,5568.4209183673465,0
11,6683.955414012738,3632.8411259311247,0.5435166604749414,11547.9,3222.395966029724,4886.821542364476,0.1273885350318471,0.095966957418884,-0.0480158379021415,-0.0774237419654265,-0.120493862609273,564.4581451167728,26099244.749507222,25302642.865601223,0.120493862609273,0.3821656050955414,3830.687829324169,1305.4398419239014,0.167728237791932,8030.977040816327,0
12,6316.608280254777,3400.9978223337685,0.5384215184637299,11390.5,3089.3227176220807,4712.648856740875,0.1295116772823779,0.0413682067803457,-0.0919673657139373,-0.0527129314344009,-0.046428740990942,596.2270803609341,24308572.520580523,23757396.65166156,0.046428740990942,0.3821656050955414,4514.811139747995,954.7970071567988,0.167728237791932,7589.598214285715,0
14,4555.386411889596,2481.2976044084294,0.5446953078201064,8021.199999999999,2385.9256900212317,3424.040324229615,0.1167728237791932,0.0491936074095615,-0.1085842906345421,-0.2063303683100125,-0.0817966534893848,415.3026151804671,12679693.114027224,12439626.528097177,0.0817966534893848,0.3821656050955414,3166.503379152348,850.4149039926851,0.173036093418259,5508.567394094994,0
15,5553.619957537155,2901.9650943938923,0.5225357723538362,9602.649999999992,2781.005307855626,4115.839314454724,0.1305732484076433,-0.0046733231795882,-0.050171576084377,-0.1301050855986957,-0.0115769511338307,489.5688393842888,18429560.930890657,18173916.316984236,0.0115769511338307,0.3821656050955414,3523.718499427262,901.0460493023928,0.167728237791932,6672.844387755102,0
16,6335.34076433121,3394.5451759799903,0.5358109850311302,10930.699999999995,3166.2993630573246,4641.840763662849,0.1199575371549893,0.0661224868578218,-0.115687987537697,-0.1569856482922363,-0.0849134939657294,552.2081317409767,24188648.73645101,23604638.5124474,0.0849134939657294,0.3821656050955414,4112.533734249714,923.6069762675744,0.1751592356687898,7680.683397683398,0
17,5259.541401273886,3292.925233738195,0.626085999116681,10474.0,2770.642250530785,4084.766854509969,0.1220806794055201,0.2312440180190391,-0.1603437365385821,-0.1936399060029039,-0.1466625760668038,623.2919698513801,18164821.0858618,17699536.758163538,0.1466625760668038,0.3821656050955414,4849.965120274914,1472.0134595325471,0.1698513800424628,6335.662404092072,0
18,5446.005307855627,2952.044206621303,0.5420567992875531,9717.599999999997,2915.831210191083,4092.577035718902,0.1220806794055201,0.0390453105767653,-0.0668249098826014,-0.1463944144336519,-0.0333403789374779,486.07499543524415,17944398.02364364,17532314.57682989,0.0333403789374779,0.3821656050955414,3680.6702749140895,1169.3181456441953,0.1698513800424628,6560.277493606138,0
19,5346.251592356688,2965.2091544834984,0.5546332982473365,9767.7,2793.2335456475585,4026.561839079772,0.1210191082802547,0.0791267807289834,-0.0929237173027717,-0.1785587208703179,-0.0695707881626285,505.59818917197447,17658408.108550757,17326563.382538762,0.0695707881626285,0.3821656050955414,3872.412313860252,955.2588387686684,0.173036093418259,6464.915275994866,0
21,4522.041401273886,2644.161470570565,0.5847273908728393,8386.049999999997,2547.032908704883,3699.098793757568,0.1804670912951167,0.0206197160127165,-0.008322731179847,-0.0295398042633942,0.0276592746985803,501.83600307855625,12966951.750808813,12783198.619467216,0.0276592746985803,0.3821656050955414,3584.8742268041237,366.3562815100213,0.1751592356687898,5482.320463320463,4
23,4565.073248407643,2548.811653246601,0.558328752682628,8485.999999999996,2469.967091295117,3609.969165021204,0.1411889596602972,-0.0020744239627332,-0.0393836272160509,-0.0942395074915432,-0.0441049819617982,451.19233163481954,12717080.209563471,12445558.94770365,0.0441049819617982,0.3821656050955414,3304.5560996563577,821.7127272727266,0.173036093418259,5520.281129653402,0
24,7763.773885350319,4270.307826104488,0.5500299066684852,14033.699999999975,4130.090233545648,6033.333239812626,0.1305732484076433,0.0022451449514849,-0.0432935749005522,-0.1221790511794402,-0.0453165671200975,706.8659236730361,36350683.80635943,35743527.99755516,0.0453165671200975,0.3821656050955414,5235.673052691866,1574.6016610789393,0.173036093418259,9388.28626444159,0
