timestamp,p10,median,p90
2015-07-02,6531.1567,7308.4507,8197.447
2015-07-03,6463.7754,7229.615,8098.1904
2015-07-04,4677.112,5310.0327,5987.5273
2015-07-05,-381.24756,160.62793,740.1958
2015-07-06,5087.4834,5698.6987,6346.8477
2015-07-07,4494.0205,5027.7197,5556.9297
2015-07-08,3975.6145,4525.601,5072.241
2015-07-09,4193.903,4775.789,5337.022
2015-07-10,4355.813,4848.509,5355.507
2015-07-11,4978.838,5580.8027,6142.79
2015-07-12,-247.61621,237.87988,750.46436
2015-07-13,8192.131,9181.206,10357.888
2015-07-14,6675.47,7444.065,8281.43
2015-07-15,6157.548,6913.553,7750.8936
2015-07-16,4820.3506,5636.495,6538.085
2015-07-17,6889.8813,7888.994,9184.945
2015-07-18,4823.508,5887.8667,7064.7207
2015-07-19,355.29053,1085.7256,1943.7268
2015-07-20,5953.6753,6977.9243,8245.094
2015-07-21,5383.828,6332.041,7523.3887
2015-07-22,4989.671,5935.1533,7053.1753
2015-07-23,4698.809,5720.91,6934.5996
2015-07-24,5588.5415,6744.6543,8110.0283
2015-07-25,5844.2695,7199.291,8923.66
2015-07-26,710.17236,1559.1023,3340.0657
2015-07-27,9204.449,11695.953,16011.1
2015-07-28,7427.7256,9590.285,13234.857
2015-07-29,6819.2354,9193.186,12920.873
2015-07-30,6055.905,8480.757,12222.387
2015-07-31,6895.282,9329.365,13596.236
