id,timestamp,target,Customers,Open,Promo,StateHoliday,SchoolHoliday,DayOfWeek
133,2013-01-01,0.0,0.0,0.0,0.0,1,1.0,2.0
133,2013-01-02,8428.0,1073.0,1.0,0.0,0,1.0,3.0
133,2013-01-03,7479.0,955.0,1.0,0.0,0,1.0,4.0
133,2013-01-04,7563.0,965.0,1.0,0.0,0,1.0,5.0
133,2013-01-05,3603.0,430.0,1.0,0.0,0,0.0,6.0
133,2013-01-06,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-01-07,12022.0,1306.0,1.0,1.0,0,0.0,1.0
133,2013-01-08,9856.0,1077.0,1.0,1.0,0,0.0,2.0
133,2013-01-09,9043.0,1024.0,1.0,1.0,0,0.0,3.0
133,2013-01-10,8031.0,969.0,1.0,1.0,0,0.0,4.0
133,2013-01-11,8137.0,969.0,1.0,1.0,0,0.0,5.0
133,2013-01-12,3672.0,466.0,1.0,0.0,0,0.0,6.0
133,2013-01-13,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-01-14,6798.0,823.0,1.0,0.0,0,0.0,1.0
133,2013-01-15,6305.0,815.0,1.0,0.0,0,0.0,2.0
133,2013-01-16,5622.0,729.0,1.0,0.0,0,0.0,3.0
133,2013-01-17,5228.0,686.0,1.0,0.0,0,0.0,4.0
133,2013-01-18,6012.0,782.0,1.0,0.0,0,0.0,5.0
133,2013-01-19,4445.0,480.0,1.0,0.0,0,0.0,6.0
133,2013-01-20,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-01-21,8992.0,984.0,1.0,1.0,0,0.0,1.0
133,2013-01-22,9696.0,1048.0,1.0,1.0,0,0.0,2.0
133,2013-01-23,7543.0,858.0,1.0,1.0,0,0.0,3.0
133,2013-01-24,7697.0,886.0,1.0,1.0,0,0.0,4.0
133,2013-01-25,7637.0,881.0,1.0,1.0,0,0.0,5.0
133,2013-01-26,3866.0,435.0,1.0,0.0,0,0.0,6.0
133,2013-01-27,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-01-28,5992.0,806.0,1.0,0.0,0,0.0,1.0
133,2013-01-29,4547.0,629.0,1.0,0.0,0,0.0,2.0
133,2013-01-30,5267.0,659.0,1.0,0.0,0,0.0,3.0
133,2013-01-31,7629.0,946.0,1.0,0.0,0,0.0,4.0
133,2013-02-01,7558.0,935.0,1.0,0.0,0,0.0,5.0
133,2013-02-02,4640.0,518.0,1.0,0.0,0,0.0,6.0
133,2013-02-03,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-02-04,10716.0,1136.0,1.0,1.0,0,0.0,1.0
133,2013-02-05,10231.0,1085.0,1.0,1.0,0,0.0,2.0
133,2013-02-06,8639.0,925.0,1.0,1.0,0,0.0,3.0
133,2013-02-07,8747.0,1011.0,1.0,1.0,0,0.0,4.0
133,2013-02-08,7924.0,881.0,1.0,1.0,0,0.0,5.0
133,2013-02-09,4506.0,511.0,1.0,0.0,0,0.0,6.0
133,2013-02-10,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-02-11,6616.0,893.0,1.0,0.0,0,0.0,1.0
133,2013-02-12,6562.0,802.0,1.0,0.0,0,0.0,2.0
133,2013-02-13,6617.0,844.0,1.0,0.0,0,0.0,3.0
133,2013-02-14,6783.0,892.0,1.0,0.0,0,0.0,4.0
133,2013-02-15,6526.0,850.0,1.0,0.0,0,0.0,5.0
133,2013-02-16,3825.0,469.0,1.0,0.0,0,0.0,6.0
133,2013-02-17,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-02-18,12254.0,1283.0,1.0,1.0,0,1.0,1.0
133,2013-02-19,7967.0,866.0,1.0,1.0,0,1.0,2.0
133,2013-02-20,8138.0,906.0,1.0,1.0,0,1.0,3.0
133,2013-02-21,7895.0,871.0,1.0,1.0,0,1.0,4.0
133,2013-02-22,7189.0,816.0,1.0,1.0,0,1.0,5.0
133,2013-02-23,2628.0,310.0,1.0,0.0,0,0.0,6.0
133,2013-02-24,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-02-25,5467.0,737.0,1.0,0.0,0,0.0,1.0
133,2013-02-26,6003.0,766.0,1.0,0.0,0,0.0,2.0
133,2013-02-27,5987.0,759.0,1.0,0.0,0,0.0,3.0
133,2013-02-28,7812.0,949.0,1.0,0.0,0,0.0,4.0
133,2013-03-01,7512.0,945.0,1.0,0.0,0,0.0,5.0
133,2013-03-02,4875.0,538.0,1.0,0.0,0,0.0,6.0
133,2013-03-03,0.0,0.0,0.0,0.0,0,0.0,7.0
133,2013-03-04,12806.0,1407.0,1.0,1.0,0,0.0,1.0
133,2013-03-05,11063.0,1204.0,1.0,1.0,0,0.0,2.0
133,2013-03-06,8808.0,987.0,1.0,1.0,0,0.0,3.0
133,2013-03-07,8363.0,990.0,1.0,1.0,0,0.0,4.0
133,2013-03-08,8301.0,965.0,1.0,1.0,0,0.0,5.0
