shop_id,core_cluster,final_cluster,is_outlier_core,is_outlier_final,assign_confidence,nearest_cluster,nearest_dist,cluster_prob_core,outlier_score
1,8,8,False,False,0.8763230657500356,-1,,0.8763230657500356,0.12367693424996437
2,7,7,False,False,1.0,-1,,1.0,0.0
3,1,1,False,False,1.0,-1,,1.0,0.23157626551608557
4,12,12,False,False,1.0,-1,,1.0,0.0
5,4,4,False,False,1.0,-1,,1.0,0.0
6,4,4,False,False,1.0,-1,,1.0,0.004466153186488502
7,2,2,False,False,0.14950180909190097,-1,,0.14950180909190097,0.8504981909080991
8,5,5,False,False,0.44768773078719626,-1,,0.44768773078719626,0.5523122692128037
9,1,1,False,False,1.0,-1,,1.0,0.07339302326685755
10,-1,18,True,False,0.0,18,0.3742869198322296,0.0,0.058477725570109
11,19,19,False,False,0.9759157894678046,-1,,0.9759157894678046,0.024084210532195435
12,-1,9,True,False,0.0,9,0.7381860613822937,0.0,0.046114695071386026
14,1,1,False,False,1.0,-1,,1.0,0.0
15,-1,9,True,False,0.0,9,0.6409071087837219,0.0,0.046114695071386026
16,16,16,False,False,1.0,-1,,1.0,0.0
17,4,4,False,False,1.0,-1,,1.0,0.0
18,4,4,False,False,1.0,-1,,1.0,0.24231961531895865
19,1,1,False,False,1.0,-1,,1.0,0.0
21,15,15,False,False,0.8249648695555853,-1,,0.8249648695555853,0.17503513044441468
23,1,1,False,False,0.5786195307444085,-1,,0.5786195307444085,0.42138046925559147
24,1,1,False,False,1.0,-1,,1.0,0.0
25,1,1,False,False,1.0,-1,,1.0,0.013812948212067216
26,4,4,False,False,1.0,-1,,1.0,0.0
27,1,1,False,False,1.0,-1,,1.0,0.23157626551608557
28,-1,4,True,False,0.5439279081869912,4,0.5733439326286316,0.0,0.0005354081951409283
29,1,1,False,False,1.0,-1,,1.0,0.0
30,1,1,False,False,1.0,-1,,1.0,0.0
31,12,12,False,False,1.0,-1,,1.0,0.0
33,1,1,False,False,1.0,-1,,1.0,0.0
34,14,14,False,False,1.0,-1,,1.0,0.07634307809776905
35,1,1,False,False,1.0,-1,,1.0,0.08116993954203801
37,12,12,False,False,0.8879784756572834,-1,,0.8879784756572834,0.11202152434271664
38,1,1,False,False,1.0,-1,,1.0,0.013845406096928877
39,1,1,False,False,1.0,-1,,1.0,0.0
40,1,1,False,False,1.0,-1,,1.0,0.0022658598160556955
42,1,1,False,False,1.0,-1,,1.0,0.0
43,1,1,False,False,1.0,-1,,1.0,0.0
44,3,3,False,False,1.0,-1,,1.0,0.0
45,11,11,False,False,1.0,-1,,1.0,0.0
47,19,19,False,False,0.9219899176382749,-1,,0.9219899176382749,0.07801008236172513
48,-1,18,True,False,0.0,18,0.3592793643474579,0.0,0.012297833979965523
49,6,6,False,False,1.0,-1,,1.0,0.0
50,15,15,False,False,0.9673125126503114,-1,,0.9673125126503114,0.032687487349688675
53,17,17,False,False,1.0,-1,,1.0,0.0
54,8,8,False,False,0.5718382822729124,-1,,0.5718382822729124,0.42816171772708755
55,4,4,False,False,1.0,-1,,1.0,0.0
56,8,8,False,False,1.0,-1,,1.0,0.1414129842529335
57,15,15,False,False,1.0,-1,,1.0,0.0
59,4,4,False,False,1.0,-1,,1.0,0.16478252395301501
60,4,4,False,False,1.0,-1,,1.0,0.11080605932990295
61,6,6,False,False,1.0,-1,,1.0,0.0
62,1,1,False,False,1.0,-1,,1.0,0.0
63,12,12,False,False,0.8879784756572834,-1,,0.8879784756572834,0.11202152434271664
64,1,1,False,False,1.0,-1,,1.0,0.08780308257313384
65,4,4,False,False,0.6958372204052224,-1,,0.6958372204052224,0.30416277959477755
66,8,8,False,False,1.0,-1,,1.0,0.1414129842529335
67,16,16,False,False,0.8091683029530082,-1,,0.8091683029530082,0.1908316970469918
68,12,12,False,False,0.791500275126632,-1,,0.791500275126632,0.20849972487336796
69,-1,13,True,False,0.5417468259171015,13,0.2934114933013916,0.0,0.002857197115423491
70,-1,10,True,False,0.11115559415716125,10,0.28464871644973755,0.0,0.008856918645103051
71,1,1,False,False,1.0,-1,,1.0,0.0
73,17,17,False,False,1.0,-1,,1.0,0.0
74,1,1,False,False,0.867664977083851,-1,,0.867664977083851,0.13233502291614893
75,-1,6,True,False,0.0,6,0.5311441421508789,0.0,0.2639421841381245
77,-1,13,True,False,0.4624532147078827,13,0.3441818058490753,0.0,0.06953514352045663
78,4,4,False,False,1.0,-1,,1.0,0.2917763379451887
79,16,16,False,False,0.8091683029530082,-1,,0.8091683029530082,0.1908316970469918
80,8,8,False,False,0.6912785525574698,-1,,0.6912785525574698,0.3087214474425302
82,1,1,False,False,1.0,-1,,1.0,0.09905770571353205
83,1,1,False,False,1.0,-1,,1.0,0.15816758685465865
84,1,1,False,False,1.0,-1,,1.0,0.013812948212067216
85,0,0,False,False,0.5407726484800865,-1,,0.5407726484800865,0.45922735151991345
86,1,1,False,False,1.0,-1,,1.0,0.0
87,5,5,False,False,0.4080125702980107,-1,,0.4080125702980107,0.5919874297019893
88,4,4,False,False,1.0,-1,,1.0,0.0
90,1,1,False,False,1.0,-1,,1.0,0.0
91,1,1,False,False,1.0,-1,,1.0,0.0
92,1,1,False,False,1.0,-1,,1.0,0.013845406096928877
93,1,1,False,False,1.0,-1,,1.0,0.0
94,1,1,False,False,1.0,-1,,1.0,0.06539799419464085
95,4,4,False,False,1.0,-1,,1.0,0.004466153186488502
96,4,4,False,False,1.0,-1,,1.0,0.0
97,4,4,False,False,1.0,-1,,1.0,0.0
98,1,1,False,False,1.0,-1,,1.0,0.0
101,19,19,False,False,1.0,-1,,1.0,0.0
102,1,1,False,False,0.8585612741943159,-1,,0.8585612741943159,0.14143872580568412
103,18,18,False,False,1.0,-1,,1.0,0.0
104,14,14,False,False,1.0,-1,,1.0,0.0
105,16,16,False,False,1.0,-1,,1.0,0.0
106,18,18,False,False,0.8146140663874847,-1,,0.8146140663874847,0.18538593361251532
107,14,14,False,False,1.0,-1,,1.0,0.0
109,19,19,False,False,0.9295558679918858,-1,,0.9295558679918858,0.07044413200811414
110,2,2,False,False,0.14950180909190097,-1,,0.14950180909190097,0.8504981909080991
111,11,11,False,False,1.0,-1,,1.0,0.0
112,14,14,False,False,1.0,-1,,1.0,0.0
114,4,4,False,False,1.0,-1,,1.0,0.0
116,18,18,False,False,1.0,-1,,1.0,0.0
117,1,1,False,False,1.0,-1,,1.0,0.23802814403901482
118,10,10,False,False,1.0,-1,,1.0,0.0
119,19,19,False,False,0.976762703560352,-1,,0.976762703560352,0.023237296439648027
120,13,13,False,False,1.0,-1,,1.0,0.0
121,4,4,False,False,1.0,-1,,1.0,0.00891588992657523
122,2,2,False,False,1.0,-1,,1.0,0.0
123,4,4,False,False,1.0,-1,,1.0,0.08831178322418771
124,1,1,False,False,1.0,-1,,1.0,0.0030401886459297004
125,5,5,False,False,1.0,-1,,1.0,0.0
126,1,1,False,False,1.0,-1,,1.0,0.3604178856853436
128,11,11,False,False,0.9387987934667464,-1,,0.9387987934667464,0.06120120653325361
130,9,9,False,False,1.0,-1,,1.0,0.0
131,1,1,False,False,1.0,-1,,1.0,0.0
133,4,4,False,False,1.0,-1,,1.0,0.2103854067908175
134,18,18,False,False,1.0,-1,,1.0,0.0
135,-1,11,True,False,0.439783825978727,11,0.3885802626609802,0.0,0.028770795034100648
138,4,4,False,False,1.0,-1,,1.0,0.0
140,9,9,False,False,1.0,-1,,1.0,0.0
141,-1,11,True,False,0.4234439816909805,11,0.3999139964580536,0.0,0.1829967319772387
142,1,1,False,False,1.0,-1,,1.0,0.0
143,1,1,False,False,1.0,-1,,1.0,0.0
146,1,1,False,False,1.0,-1,,1.0,0.01490895976784778
147,1,1,False,False,1.0,-1,,1.0,0.0
148,18,18,False,False,1.0,-1,,1.0,0.0
150,12,12,False,False,0.8665715876338353,-1,,0.8665715876338353,0.13342841236616462
151,4,4,False,False,1.0,-1,,1.0,0.2917763379451887
152,1,1,False,False,1.0,-1,,1.0,0.0
153,1,1,False,False,1.0,-1,,1.0,0.35473904703415443
154,-1,13,True,False,0.4444841064523535,13,0.35568711161613464,0.0,0.04567487217192117
156,4,4,False,False,1.0,-1,,1.0,0.0
157,1,1,False,False,1.0,-1,,1.0,0.038067838760734586
158,6,6,False,False,1.0,-1,,1.0,0.0
160,13,13,False,False,1.0,-1,,1.0,0.0
161,1,1,False,False,1.0,-1,,1.0,0.0
162,-1,15,True,False,0.0,15,0.3851233124732971,0.0,0.017793622853690325
163,18,18,False,False,1.0,-1,,1.0,0.0
166,1,1,False,False,1.0,-1,,1.0,0.0
167,4,4,False,False,1.0,-1,,1.0,0.07035480635046325
168,16,16,False,False,0.7868305176447857,-1,,0.7868305176447857,0.21316948235521424
169,1,1,False,False,1.0,-1,,1.0,0.0
170,1,1,False,False,1.0,-1,,1.0,0.3885570935505758
171,1,1,False,False,1.0,-1,,1.0,0.0
173,5,5,False,False,0.4080125702980107,-1,,0.4080125702980107,0.5919874297019893
175,14,14,False,False,1.0,-1,,1.0,0.0
176,1,1,False,False,1.0,-1,,1.0,0.24680090594146184
177,4,4,False,False,1.0,-1,,1.0,0.004466153186488502
178,4,4,False,False,1.0,-1,,1.0,0.0
179,1,1,False,False,1.0,-1,,1.0,0.224583458920386
180,14,14,False,False,1.0,-1,,1.0,0.0
182,-1,13,True,False,0.3136530388028178,13,0.43945595622062683,0.0,0.03830926901511651
184,1,1,False,False,1.0,-1,,1.0,0.035150046143748635
185,3,3,False,False,1.0,-1,,1.0,0.0
187,19,19,False,False,0.9340736770713467,-1,,0.9340736770713467,0.06592632292865332
188,8,8,False,False,1.0,-1,,1.0,0.0
189,-1,13,True,False,0.2724338536074409,13,0.4658478796482086,0.0,0.014553119347186802
193,16,16,False,False,0.8091683029530082,-1,,0.8091683029530082,0.1908316970469918
194,6,6,False,False,1.0,-1,,1.0,0.0
195,1,1,False,False,1.0,-1,,1.0,0.0022658598160556955
196,4,4,False,False,1.0,-1,,1.0,0.0
197,-1,17,True,False,0.19029969362695687,17,0.24237827956676483,0.0,0.08007445983624693
198,4,4,False,False,1.0,-1,,1.0,0.22464917813522675
199,-1,15,True,False,0.0,15,0.46005094051361084,0.0,0.014553119347186802
200,1,1,False,False,1.0,-1,,1.0,0.013812948212067216
201,8,8,False,False,0.6912785525574698,-1,,0.6912785525574698,0.3087214474425302
202,8,8,False,False,1.0,-1,,1.0,0.14357115108159207
203,4,4,False,False,1.0,-1,,1.0,0.0
205,5,5,False,False,0.4080125702980107,-1,,0.4080125702980107,0.5919874297019893
206,1,1,False,False,1.0,-1,,1.0,0.0
207,7,7,False,False,1.0,-1,,1.0,0.0
208,-1,12,True,False,0.6249906977022275,12,0.351421058177948,0.0,0.20669278817239853
209,2,2,False,False,1.0,-1,,1.0,0.0
210,15,15,False,False,0.9673125126503114,-1,,0.9673125126503114,0.032687487349688675
